時間,顏色,型號,尺寸,厚度標準值(mm),厚度公差(mm),第1象限,第2象限,第3象限,第4象限,厚度結果(mm),厚度判定,外徑標準值(mm),外徑公差(mm),0~180,23~203,45~225,68~248,90~270,113~293,135~315,158~338,外徑結果(mm),外徑判定
15:13:15,Gray,E,150,9.2,0.7,7.74,9.13,9.77,7.92,8.64,NG,165,1,162.21,161.33,160.45,160.85,160.78,161.54,162.39,162.52,161.51,NG
15:19:46,Gray,E,150,9.2,0.7,7,8.91,9.77,7.54,8.31,NG,165,1,162.21,161.33,160.53,164.44,160.56,161.44,162.24,162.66,161.93,NG
15:26:16,Gray,E,150,9.2,0.7,7.64,9.09,9.83,7.5,8.51,NG,165,1,162.76,161.78,160.84,160.71,161,161.68,162.32,162.77,161.73,NG
15:32:46,Gray,E,150,9.2,0.7,7.11,9.18,9.62,7.41,8.33,NG,165,1,162.54,161.68,160.69,160.65,161,161.78,162.47,162.77,161.7,NG
15:39:15,Gray,E,150,9.2,0.7,7.1,9.15,10,7.52,8.44,NG,165,1,162.43,161.23,160.38,160.16,160.56,161.48,162.24,162.66,161.39,NG
15:45:46,Gray,E,150,9.2,0.7,7.2,9.08,9.62,7.46,8.34,NG,165,1,162.32,161.48,160.61,160.3,160.78,161.58,162.32,162.66,161.51,NG
15:52:16,Gray,E,150,9.2,0.7,6.98,8.96,9.49,7.45,8.22,NG,165,1,161.44,160.4,159.76,159.32,159.8,160.5,161.38,161.69,160.54,NG
15:58:45,Gray,E,150,9.2,0.7,7.11,9,9.64,7.53,8.32,NG,165,1,162.65,161.72,161,160.65,161.11,161.82,162.7,163.01,161.83,NG
16:05:15,Gray,E,150,9.2,0.7,7.28,9.02,9.63,7.72,8.41,NG,165,1,161.44,160.36,159.68,159.57,160.02,160.64,161.38,161.73,160.6,NG
16:11:44,Gray,E,150,9.2,0.7,7.57,9,9.41,7.34,8.33,NG,165,1,161.55,160.5,159.76,159.47,159.8,160.6,161.46,161.73,160.61,NG
